ACCORDING	O
TO	O
ROMANIAN	PER.IND
COMMERCIAL	PER.IND
COUNSELOR	PER.IND
IN	PER.IND
PRAGUE	PER.IND
NICOLAS	PER.IND
PICORIUS	PER.IND
	O
,	O
CZECHOSLOVAK	GPE.SPECIAL
-ROMANIAN	GPE.SPECIAL
TRADE	O
IN	O
1976	O
WILL	O
GROW	O
BY	O
ONLY	O
20	O
PERCENT	O
IN	O
VALUE	O
TERMS	O
AND	O
10	O
-15	O
PERCENT	O
IN	O
VOLUME	O
TERMS	O
-	O
-	O
NOT	O
BY	O
ENORMOUS	O
AMOUNT	O
REPORTED	O
PRAGUE	GPE.SPECIAL
142	O
WHICH	O
WAS	O
BASED	O
ON	O
RUDE	ORG.NGO
PRAVO	ORG.NGO
ACCOUNT	O
OF	O
JANUARY	O
19	O
.	O
APPARENTLY	O
,	O
BUG	O
-A	O
-BOO	O
WAS	O
OLD	O
PROBLEM	O
OF	O
WHICH	O
EXCHANGE	O
RATE	O
TO	O
USE	O
IN	O
COMPUTING	O
INTRA	ORG.MED
-CEMA	ORG.MED
TRADE	O
FLOWS	O
.	O
PICORIUS	PER.IND
SAID	O
HE	PER.IND
HAD	O
NOT	O
SEEN	O
CZECH	GPE.SPECIAL
PRESS	O
REPORTS	O
,	O
BUT	O
WENT	O
THROUGH	O
ELABORATE	O
EXPLANATION	O
OF	O
MANNER	O
IN	O
WHICH	O
VALUTA	O
CROWNS	O
AND	O
LEI	O
ARE	O
TRANSLATED	O
INTO	O
TRANSFERABLE	O
RUBLE	O
VALUES	O
.	O
USING	O
LATTER	O
VALUSE	O
,	O
HE	PER.IND
THEN	O
COMPUTED	O
INCREASE	O
IN	O
TRADE	O
IN	O
1976	O
OVER	O
1975	O
AS	O
APPROXIMATELY	O
20	O
PERCENT	O
.	O
ALTHOUGH	O
RUDE	ORG.NGO
PRAVO	ORG.NGO
	O
ACCOUNT	O
SPECIFICALLY	O
STATED	O
THAT	O
ALL	O
VALUES	O
WERE	O
IN	O
DEVIZOVY	O
(VALUTA)	O
CROWNS	O
,	O
APPARENTLY	O
THEY	O
WERE	O
NOT	O
WHICH	O
RESULTED	O
IN	O
DISTORTION	O
IN	O
TRADE	O
FIGURES	O
WHICH	O
WAS	O
CAUSE	O
OF	O
SURPRISE	O
TO	O
US	ORG.GOV
.	O
AS	O
REGARDS	O
INCREASE	O
IN	O
IMPORTS	O
OF	O
ENERGY	O
RAW	O
MATERIALS	O
FROM	O
ROMANIA	GPE.SPECIAL
,	O
HOWEVER	O
,	O
PICORIUS	PER.IND
	O
DID	O
SAY	O
THAT	O
CZECHS	GPE.SPECIAL
(MORE	O
LIKELY	O
SLOVAKS	GPE.SPECIAL
WOULD	O
BE	O
BUYING	O
250	O
,000	O
TONS	O
OF	O
MAZUT	O
THIS	O
YEAR	O
,	O
IN	O
COMPARISION	O
WITH	O
160	O
,000	O
TONS	O
IN	O
1974	O
,	O
FOR	O
AN	O
INCREASE	O
OF	O
56	O
PERCENT	O
.	O
COMMENT:	O
WHILE	O
WE	ORG.GOV
DO	O
NOT	O
PRETEND	O
TO	O
COMPETENCE	O
IN	O
DIVINING	O
LEVELS	O
OF	O
VALUE	O
IN	O
INTRA	ORG.MED
-CEMA	ORG.MED
TRADE	O
,	O
WE	ORG.GOV
	O
CAREFULLY	O
REVIEWED	O
FIGURES	O
PUBLISHED	O
ON	O
ROMANIAN	GPE.SPECIAL
/CZECHOSLOVAK	GPE.SPECIAL
TRADE	O
FOR	O
1976	O
,	O
INCLUDING	O
A	O
CALL	O
TO	O
OFFICE	O
OF	O
RUDE	ORG.NGO
PRAVO	ORG.NGO
,	O
AND	O
CAN	O
CONFIRM	O
THAT	O
FIGURES	O
REPORTED	O
REFTEL	O
WERE	O
ACCURATE	O
AS	O
FAR	O
AS	O
THEY	O
WENT	O
.	O
OBVIOUSLY	O
,	O
PROBLEM	O
OF	O
INTRA	ORG.MED
-CEMA	ORG.MED
EXCHANGE	O
RATES	O
IS	O
CENTRAL	O
TO	O
ANY	O
UNDERSTANDING	O
OF	O
THIS	O
TRADE	O
AND	O
IT	O
IS	O
APPARENT	O
THESE	O
MAY	O
HAVE	O
SHIFTED	O
BETWEEN	O
1974	O
AND	O
1975	O
SO	O
THAT	O
IN	O
COMPARING	O
LATTER	O
YEAR'S	O
FIGURES	O
WITH	O
THOSE	O
OF	O
1974	O
,	O
WE	ORG.GOV
WERE	O
LED	O
OFF	O
TRACK	O
.	O
PERRY	PER.IND